,artist,name song,num reproduction,time duration
0,Billie Eilish,BIRDS OF A FEATHER,3639143226,3:30
1,Billie Eilish,WILDFLOWER,2006995065,4:21
2,Billie Eilish,lovely (with Khalid),3721855927,3:20
3,Billie Eilish,ocean eyes,2165460031,3:20
4,Billie Eilish,CHIHIRO,1171430956,5:03
5,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",1586029610,3:42
6,Billie Eilish,when the party's over,2471125167,3:16
7,Billie Eilish,Happier Than Ever,1822267649,4:58
8,Billie Eilish,everything i wanted,2096678140,4:05
9,Billie Eilish,TV,1079554037,4:41
