,artist,name album,year,type_disc
0,Hocico,Dark Paradigm,2026,Sencillo
1,Hocico,Hey Tú,2025,EP
2,Hocico,Hey Tú! (Frank Spector Remix),2025,Sencillo
3,Hocico,Hey Tú!,2025,Sencillo
4,Hocico,Und die Engel singen,2025,EP
5,Hocico,Und die Engel singen (Alas Caidas Remix),2025,Sencillo
6,Hocico,Brainrot,2025,EP
7,Hocico,The Screen,2025,EP
8,Hocico,Fallen Paradise,2024,Sencillo
9,Hocico,A Symphony Of Rage,2023,Sencillo
10,Hocico,Upside Down (Hocico Remix),2022,Sencillo
11,Hocico,HyperViolent,2022,Álbum
12,Hocico,Weapons of Resistance,2022,Sencillo
13,Hocico,Backstabbers,2021,Sencillo
14,Hocico,Lost World,2021,EP
15,Hocico,Broken Empires (Radio Version),2021,Sencillo
16,Hocico,Obscured,2020,EP
17,Hocico,Artificial Extinction,2019,Álbum
18,Hocico,Rextinction,2019,Álbum
19,Hocico,Damaged,2019,Sencillo
20,Hocico,Cross the Line (Tragedy Of Mine Remix),2019,Sencillo
21,Hocico,Psychonaut,2019,Sencillo
22,Hocico,Dark Sunday,2019,Sencillo
23,Hocico,Shalom from Hell Aviv Live (Blasphemies in the Holy Land Pt. 2),2018,Álbum
24,Hocico,The Spell of the Spider,2017,Álbum
25,Hocico,Spider Bites,2017,Álbum
26,Hocico,I Abomination,2017,Sencillo
27,Hocico,Ofensor (Deluxe Edition),2015,Álbum
