,artist,name album,year,type_disc
0,Kendrick Lamar,Super Bowl LIX Halftime Show (Live),2025,Sencillo
1,Kendrick Lamar,GNX,2024,Álbum
2,Kendrick Lamar,Not Like Us,2024,Sencillo
3,Kendrick Lamar,meet the grahams,2024,Sencillo
4,Kendrick Lamar,euphoria,2024,Sencillo
5,Kendrick Lamar,The Hillbillies,2023,Sencillo
6,Kendrick Lamar,Mr. Morale & The Big Steppers,2022,Álbum
7,Kendrick Lamar,The Heart Part 5,2022,Sencillo
8,Kendrick Lamar,family ties (with Kendrick Lamar),2021,Sencillo
9,Kendrick Lamar,Malcolm X,2021,Sencillo
10,Kendrick Lamar,The Mantra,2018,Sencillo
11,Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018,Álbum
12,Kendrick Lamar,King's Dead (with Kendrick Lamar Future & James Blake),2018,Sencillo
13,Kendrick Lamar,All The Stars (with SZA),2018,Sencillo
14,Kendrick Lamar,DAMN. COLLECTORS EDITION.,2017,Álbum
15,Kendrick Lamar,HUMBLE. (SKRILLEX REMIX),2017,Sencillo
16,Kendrick Lamar,DAMN.,2017,Álbum
17,Kendrick Lamar,The Heart Part 4,2017,Sencillo
18,Kendrick Lamar,untitled 07 | levitate,2016,Sencillo
19,Kendrick Lamar,untitled unmastered.,2016,Álbum
20,Kendrick Lamar,These Walls,2015,Sencillo
21,Kendrick Lamar,Alright,2015,Sencillo
22,Kendrick Lamar,To Pimp A Butterfly,2015,Álbum
23,Kendrick Lamar,Swimming Pools (Drank) [Black Hippy Remix],2015,Sencillo
24,Kendrick Lamar,County Building Blues,2015,Sencillo
25,Kendrick Lamar,i,2014,Sencillo
26,Kendrick Lamar,Two Presidents,2013,Sencillo
27,Kendrick Lamar,good kid m.A.A.d city (Deluxe),2012,Álbum
