,artist,name album,year,type_disc
0,Kings of Leon,EP #2,2025,EP
1,Kings of Leon,Atlantic City (Live in Jersey) [feat. Bruce Springsteen and Kings of Leon],2025,Sencillo
2,Kings of Leon,We're Onto Something (feat. Zach Bryan),2025,Sencillo
3,Kings of Leon,Bowery (feat. Kings of Leon),2025,Sencillo
4,Kings of Leon,M Television,2024,Sencillo
5,Kings of Leon,Can We Please Have Fun,2024,Álbum
6,Kings of Leon,Nothing To Do,2024,Sencillo
7,Kings of Leon,Split Screen,2024,Sencillo
8,Kings of Leon,Mustang,2024,Sencillo
9,Kings of Leon,When You See Yourself,2021,Álbum
10,Kings of Leon,Echoing,2021,Sencillo
11,Kings of Leon,The Bandit / 100000 People,2021,Sencillo
12,Kings of Leon,Waste A Moment (Live),2017,Sencillo
13,Kings of Leon,WALLS,2016,Álbum
14,Kings of Leon,I Love You All the Time (Play It Forward Campaign),2015,Sencillo
15,Kings of Leon,Mechanical Bull (Expanded Edition),2013,Álbum
16,Kings of Leon,Talihina Sky,2011,Sencillo
17,Kings of Leon,Come Around Sundown (Expanded Edition),2010,Álbum
18,Kings of Leon,Notion,2009,EP
19,Kings of Leon,Sex On Fire,2009,Sencillo
20,Kings of Leon,Use Somebody,2009,EP
21,Kings of Leon,Only By The Night,2008,Álbum
22,Kings of Leon,Charmer,2007,Sencillo
23,Kings of Leon,Because Of The Times,2007,Álbum
24,Kings of Leon,Day Old Belgian Blues,2006,EP
25,Kings of Leon,Aha Shake Heartbreak,2005,Álbum
26,Kings of Leon,Razz (Dub Mix),2004,Sencillo
27,Kings of Leon,Molly's Chambers (Live at Birmingham Academy),2003,Sencillo
