,artist,name album,year,type_disc
0,Metallica,Too Far Gone? (Live at MetLife Stadium East Rutherford NJ – August 6 2023),2023,Sencillo
1,Metallica,72 Seasons,2023,Álbum
2,Metallica,72 Seasons,2023,Sencillo
3,Metallica,If Darkness Had a Son,2023,Sencillo
4,Metallica,Screaming Suicide,2023,Sencillo
5,Metallica,Lux Æterna,2022,Sencillo
6,Metallica,The Metallica Blacklist,2021,Compilación
7,Metallica,Metallica (Remastered Deluxe Box Set),2021,Álbum
8,Metallica,Metallica (Remastered 2021),2021,Álbum
9,Metallica,S&M2,2020,Álbum
10,Metallica,For Whom The Bell Tolls (Live),2020,Sencillo
11,Metallica,Moth Into Flame (Live),2020,Sencillo
12,Metallica,All Within My Hands (Live) / Nothing Else Matters (Live),2020,Sencillo
13,Metallica,Blackened 2020,2020,Sencillo
14,Metallica,Helping Hands…Live & Acoustic At The Masonic,2019,Álbum
15,Metallica,One (Live At Long Beach Arena Long Beach CA / December 7th 1988),2018,Sencillo
16,Metallica,The Shortest Straw (December 1987 / Writing In Progress),2018,Sencillo
17,Metallica,Eye Of The Beholder (Live At Hammersmith Odeon London England / October 10th 1988),2018,Sencillo
18,Metallica,Hardwired…To Self-Destruct (Deluxe),2016,Álbum
19,Metallica,Hardwired…To Self-Destruct,2016,Álbum
20,Metallica,Metallica Through The Never (Music From The Motion Picture),2013,Álbum
21,Metallica,Beyond Magnetic,2011,EP
22,Metallica,I Disappear,2008,Sencillo
23,Metallica,Death Magnetic,2008,Álbum
24,Metallica,Some Kind Of Monster,2004,Álbum
25,Metallica,St. Anger,2003,Álbum
26,Metallica,S&M,1999,Álbum
27,Metallica,Garage Inc.,1998,Compilación
