,artist,name album,year,type_disc
0,Michael Jackson,Michael: The Birth of A Superstar,2026,Álbum
1,Michael Jackson,Thriller 40,2022,Álbum
2,Michael Jackson,Michael Jackson x Mark Ronson: Diamonds are Invincible,2018,Sencillo
3,Michael Jackson,Thriller (Steve Aoki Midnight Hour Remix),2017,Sencillo
4,Michael Jackson,Scream,2017,Compilación
5,Michael Jackson,Slave to the Rhythm (Audien Remix Radio Edit),2014,Sencillo
6,Michael Jackson,Love Never Felt So Good (David Morales and Eric Kupper Def Mix),2014,Sencillo
7,Michael Jackson,Love Never Felt So Good (Fedde Le Grand Remix Radio Edit),2014,Sencillo
8,Michael Jackson,XSCAPE - Track by Track Commentary,2014,Álbum
9,Michael Jackson,XSCAPE,2014,Álbum
10,Michael Jackson,Bad 25th Anniversary,2012,Álbum
11,Michael Jackson,Immortal,2011,Compilación
12,Michael Jackson,Michael,2010,Álbum
13,Michael Jackson,Michael Jackson's This Is It,2009,Compilación
14,Michael Jackson,Michael Jackson: The Complete Remix Suite,2009,Compilación
15,Michael Jackson,Hello World - The Motown Solo Collection,2009,Compilación
16,Michael Jackson,The Stripped Mixes,2009,Compilación
17,Michael Jackson,The Definitive Collection,2009,Compilación
18,Michael Jackson,Pure Michael: Motown A Cappella,2009,Compilación
19,Michael Jackson,Ben / You Can Cry On My Shoulder,2009,Compilación
20,Michael Jackson,Gold,2008,Compilación
21,Michael Jackson,Thriller 25 Super Deluxe Edition,2008,Álbum
22,Michael Jackson,The Essential Michael Jackson,2005,Compilación
23,Michael Jackson,Number Ones,2003,Compilación
24,Michael Jackson,Love Songs,2002,Compilación
25,Michael Jackson,Invincible,2001,Álbum
26,Michael Jackson,20th Century Masters: The Millennium Collection: Best of Michael Jackson,2000,Compilación
27,Michael Jackson,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,1997,Álbum
