,artist,name album,year,type_disc
0,Motorama,Caerus,2024,Sencillo
1,Motorama,Sleep and I Will Sing,2023,Álbum
2,Motorama,Another Chance,2023,Sencillo
3,Motorama,Tomorrow,2022,Sencillo
4,Motorama,Before The Road,2021,Álbum
5,Motorama,Today and Everyday,2020,Sencillo
6,Motorama,The New Era,2020,Sencillo
7,Motorama,Many Nights,2018,Álbum
8,Motorama,Dialogues,2016,Álbum
9,Motorama,Holy Day,2016,Sencillo
10,Motorama,Poverty,2015,Álbum
11,Motorama,Heavy Wave,2015,Sencillo
12,Motorama,Special Day,2014,Sencillo
13,Motorama,Mirror,2014,Sencillo
14,Motorama,She Is There,2014,Sencillo
15,Motorama,Eyes,2013,Sencillo
16,Motorama,Winter at Night,2013,Sencillo
17,Motorama,Calendar,2012,Álbum
18,Motorama,Far Away from the City,2011,Sencillo
19,Motorama,Empty Bed,2011,Sencillo
20,Motorama,One Moment,2011,Sencillo
21,Motorama,Alps,2010,Álbum
22,Motorama,Ghost,2009,Sencillo
23,Motorama,Bear,2009,EP
24,Motorama,Horse,2008,EP
