categoria,sub_categoria,nombre_product,sku,url_general,url_product,price_original,precio_oferta,promo_producto,type_promo_by_product,bonus_product,type_bonus_by_product,time_update
Jugos y bebidas,Refrescos,Refresco Coca Cola Original 2.75 L,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw0e203fa6/images/product/7501055335060_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-original-2.75-l/11617522.html,$44.90,vacio,vacio,vacio,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi 2.5 lt,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwbe927de0/images/product/7501031310258_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-2.5-lt/1110896.html,$39.90,vacio,4 x 3,vacio,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Squirt 2 L Botella,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw0576d5a6/images/product/7501071120077_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-squirt-2-l-botella/383193.html,$36.50,vacio,4 x 3,vacio,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi 3 Lt,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwa837b2cc/images/product/7501031310098_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-3-lt/1116456.html,$49.50,vacio,4 x 3,vacio,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi Light 2.5 Lt,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw8194443f/images/product/7501031312771_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-light-2.5-lt/1130904.html,$41.50,vacio,4 x 3,vacio,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi 600 Ml Botella,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw93c0d34a/images/product/7501031310012_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-600-ml-botella/553832.html,$18.00,vacio,4 x 3,vacio,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Squirt 3 L,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw185ced8b/images/product/7501071120305_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-squirt-3-l/1111693.html,$45.90,vacio,4 x 3,vacio,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Squirt 600 Ml,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw50a64809/images/product/7501071120183_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-squirt-600-ml/555320.html,$19.00,vacio,4 x 3,vacio,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi 2L,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw28b8e29a/images/product/7501031311606_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-2l/370615.html,$36.90,vacio,4 x 3,vacio,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco 7 Up sabor Lima Limón 3 L,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw88446c34/images/product/7501022014646_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/jugos-y-bebidas/,/refresco-7-up-sabor-lima-limon-3-l/11561968.html,$47.90,vacio,4 x 3,vacio,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
