categoria,sub_categoria,nombre_product,sku,url_general,url_product,price_original,precio_oferta,promo_producto,type_promo_by_product,bonus_product,type_bonus_by_product,time_update
Jugos y bebidas,Refrescos,Refresco Coca Cola Original 2.75 L,7501055335060_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-original-2.75-l/11617522.html,44.90,0.0,,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi 2.5 lt,7501031310258_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-2.5-lt/1110896.html,39.90,0.0,4 x 3,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Squirt 2 L Botella,7501071120077_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-squirt-2-l-botella/383193.html,36.50,0.0,4 x 3,,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi 3 Lt,7501031310098_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-3-lt/1116456.html,49.50,0.0,4 x 3,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi Light 2.5 Lt,7501031312771_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-light-2.5-lt/1130904.html,41.50,0.0,4 x 3,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi 600 Ml Botella,7501031310012_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-600-ml-botella/553832.html,18.00,0.0,4 x 3,,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Squirt 3 L,7501071120305_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-squirt-3-l/1111693.html,45.90,0.0,4 x 3,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Squirt 600 Ml,7501071120183_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-squirt-600-ml/555320.html,19.00,0.0,4 x 3,,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi 2L,7501031311606_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-2l/370615.html,36.90,0.0,4 x 3,,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco 7 Up sabor Lima Limón 3 L,7501022014646_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-7-up-sabor-lima-limon-3-l/11561968.html,47.90,0.0,4 x 3,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi Light 2L,7501031312405_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-light-2l/370633.html,36.50,0.0,4 x 3,,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco 7Up 2 L Botella,7501022014622_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-7up-2-l-botella/11559916.html,34.50,0.0,4 x 3,,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Refresco Squirt Light 2 L Botella,7501071140075_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-squirt-light-2-l-botella/383197.html,36.90,0.0,4 x 3,,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi Light 600 Ml Botella,7501031312559_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-light-600-ml-botella/630617.html,17.50,0.0,4 x 3,,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Original 3 lts,7501055304745_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-original-3-lts/1041251.html,50.90,0.0,20% en Dinero electrónico,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola 4 Pack 600 ml,7501055307043_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-4-pack-600-ml/1014294.html,78.90,73.50,20% en Dinero electrónico,Aplica cupón,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Original 2 Pack 3 L,7501055372126_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-original-2-pack-3-l/11530598.html,102.00,0.0,,Aplica cupón,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Agua Mineral Peñafiel 2 L,7501073800908_A,https://www.soriana.com/jugos-y-bebidas/,/agua-mineral-penafiel-2-l/383939.html,31.00,26.00,3 x 2,,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Original PET 12/355 ml,7501055356188_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-original-pet-12-355-ml/11314202.html,160.00,0.0,,,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
