categoria,sub_categoria,nombre_product,sku,url_general,url_product,price_original,precio_oferta,promo_producto,type_promo_by_product,bonus_product,type_bonus_by_product,time_update
Tv y video,Pantallas,Pantalla LG 75 Pulgadas QNED 4K UHD AI Smart TV 75QNED73ASC,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw878e96af/images/product/8806096605028_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-lg-75-pulgadas-qned-4k-uhd-ai-smart-tv-75qned73asc/11928311.html,"$22,990.00","$13,990.00",Combo,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,Pantalla LG 75 Pulgadas 4K UHD AI UA8000,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw82bf0de4/images/product/8806096525364_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-lg-75-pulgadas-4k-uhd-ai-ua8000/11890193.html,"$16,590.00","$11,990.00",Combo,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,Pantalla LG 86 Pulgadas QNED 4K UHD AI Smart TV 86QNED73ASA,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw3315fbfc/images/product/8806096597545_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-lg-86-pulgadas-qned-4k-uhd-ai-smart-tv-86qned73asa/11928206.html,"$26,990.00","$17,990.00",Combo,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,Pantalla TCL 85 Pulgadas 4K QLED Google TV 85Q5K,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw8bb27361/images/product/846042073172_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-tcl-85-pulgadas-4k-qled-google-tv-85q5k/11870360.html,"$23,990.00","$15,990.00",Garantía extendida,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,Pantalla LG 60 Pulgadas 4K UHD AI UA7500,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw559671c8/images/product/8806096487532_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-lg-60-pulgadas-4k-uhd-ai-ua7500/11890141.html,"$11,990.00",vacio,Combo,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,"Pantalla 55"" JVC 4K UHD Frameless Roku TV SI55URF",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwd5e97cf2/images/product/0841848102163_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-55-jvc-4k-uhd-frameless-roku-tv-si55urf/11667002.html,"$9,990.00",vacio,Hasta 36 MSI,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,Pantalla LG 98 Pulgadas 4K UHD AI Smart TV 98UT9050PSA,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw412ace6b/images/product/8806096167960_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-lg-98-pulgadas-4k-uhd-ai-smart-tv-98ut9050psa/11894346.html,"$44,990.00","$32,990.00",Combo,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,Pantalla Vios 50 pulgadas Smart TV LED UHD VI-50T232,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwf63959a7/images/product/7500525799531_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-vios-50-pulgadas-smart-tv-led-uhd-vi-50t232/11802214.html,"$7,899.00",vacio,Garantía extendida,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,"Pantalla 70"" JVC 4K UHD Frameless Roku TV SI70URF",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw7bdf0534/images/product/0841848102439_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-70-jvc-4k-uhd-frameless-roku-tv-si70urf/11804126.html,"$11,990.00","$9,290.00",Garantía extendida,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
Tv y video,Pantallas,Pantalla TCL 75 Pulgadas 4K QLED Google TV 75Q5K,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwb1b40330/images/product/846042073165_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/electronica/tv-y-video/,/pantalla-tcl-75-pulgadas-4k-qled-google-tv-75q5k/11870618.html,"$14,990.00","$11,990.00",Hasta 36 MSI,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-01
