categoria,sub_categoria,nombre_product,sku,url_general,url_product,price_original,precio_oferta,promo_producto,type_promo_by_product,bonus_product,type_bonus_by_product,time_update
Farmacia,Analgésicos,Aspirina Protec 100mg Tab 28,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw27b647e7/images/product/7501318612655_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/aspirina-protec-100mg-tab-28/3096234.html,$125.00,vacio,3 x 2,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Bio Electro 2 Pack Migraña y Dolor de Cabeza 24 Tabs,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw174b9b4e/images/product/0650240060045_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/bio-electro-2-pack-migrana-y-dolor-de-cabeza-24-tabs/11573327.html,$199.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Nikzon Tratamiento Hemorroides 40 Tabletas,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw2dae8465/images/product/0650240024931_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/nikzon-tratamiento-hemorroides-40-tabletas/2419262.html,$375.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Nikzon Tratamiento Hemorroides 90 Tabletas,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw5a38288f/images/product/0650240001314_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/nikzon-tratamiento-hemorroides-90-tabletas/1117254.html,$479.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Bio Electro Migraña y Dolor De Cabeza 24 tabs,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw5d551a7e/images/product/0650240007651_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/bio-electro-migrana-y-dolor-de-cabeza-24-tabs/1551248.html,$136.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Alliviax Naproxeno 550 mg Alivia Dolor e Inflamación 20 Tabletas,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw3fd01b89/images/product/0650240050398_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/alliviax-naproxeno-550-mg-alivia-dolor-e-inflamacion-20-tabletas/11520622.html,$209.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Gel Térmico Ultra Bengue Desinflama y Anestesia 35 g,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw7c93c100/images/product/0650240006647_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/gel-termico-ultra-bengue-desinflama-y-anestesia-35-g/1500507.html,$155.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Analgésico Antiinflamatorio Flanax 550mg Desinflama y Alivia El Dolor Del Día a Día 12 tabletas,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw62aa5bb0/images/product/7501008497340_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/analgesico-antiinflamatorio-flanax-550mg-desinflama-y-alivia-el-dolor-del-dia-a-dia-12-tabletas/2156076.html,$255.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Alliviax Naproxeno 550 mg Alivia Dolor e Inflamación 10 Tabletas,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw9ba10494/images/product/0650240013805_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/alliviax-naproxeno-550-mg-alivia-dolor-e-inflamacion-10-tabletas/2066969.html,$124.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
Farmacia,Analgésicos,Tratamiento Osteoartritis X-Ray 40 Cápsulas,https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwefcb06b1/images/product/0650240001635_A.jpg?sw=473&sh=473&sm=fit,https://www.soriana.com/farmacia/,/tratamiento-osteoartritis-x-ray-40-capsulas/1117257.html,$435.00,vacio,vacio,vacio,Puntos 'dobles' al pagar con 'FALABELLA',vacio,2026-07-02
