PO Nbr,Item Nbr,Description,Supplier Name,Ship Date,Cancel Date,Qty Ordered,Qty Received,Retail $ Shorted,CA Fecha Consulta,CA Hora Consulta
9183178560,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/10/2026,6/19/2026,6552,0,763308,2026-06-14,12:21:46
9183178560,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/10/2026,6/19/2026,2160,0,251640,2026-06-14,12:21:46
1232168541,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/10/2026,6/19/2026,1872,0,218088,2026-06-14,12:21:46
9137067749,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/10/2026,6/19/2026,1872,0,218088,2026-06-14,12:21:46
1232168541,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/10/2026,6/19/2026,1608,0,187332,2026-06-14,12:21:46
9137067749,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/10/2026,6/19/2026,1440,0,167760,2026-06-14,12:21:46
8551487215,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/9/2026,6/20/2026,1289,0,13,2026-06-14,12:21:46
8551487204,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/9/2026,6/20/2026,287,0,3,2026-06-14,12:21:46
8551487184,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/9/2026,6/20/2026,195,0,2,2026-06-14,12:21:46
8551482150,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/2/2026,6/15/2026,265,0,0,2026-06-14,12:21:46
8551487210,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/9/2026,6/20/2026,282,0,0,2026-06-14,12:21:46
8551487210,155830,10 KG MARGARINA FEIT 10,CREMERIA A,6/9/2026,6/20/2026,370,0,0,2026-06-14,12:21:46
8551487215,155830,10 KG MARGARINA FEIT 10,CREMERIA A,6/9/2026,6/20/2026,515,0,0,2026-06-14,12:21:46
8551482150,155830,10 KG MARGARINA FEIT 10,CREMERIA A,6/2/2026,6/15/2026,96,0,0,2026-06-14,12:21:46
8551487204,155830,10 KG MARGARINA FEIT 10,CREMERIA A,6/9/2026,6/20/2026,216,0,0,2026-06-14,12:21:46
3682366969,199455,100/10GR MANTEQUILLA SIN,CREMERIA A,6/3/2026,6/15/2026,16,0,0,2026-06-14,12:21:46
3682367043,199455,100/10GR MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,40,0,0,2026-06-14,12:21:46
3682367043,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/10/2026,6/19/2026,972,0,0,2026-06-14,12:21:46
3682366969,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/3/2026,6/15/2026,1764,0,0,2026-06-14,12:21:46
3682366969,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/3/2026,6/15/2026,4680,0,0,2026-06-14,12:21:46
3682367043,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/10/2026,6/19/2026,2808,0,0,2026-06-14,12:21:46
9183178560,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,12480,0,0,2026-06-14,12:21:46
1232168541,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,5760,0,0,2026-06-14,12:21:46
3682367043,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,3840,0,0,2026-06-14,12:21:46
9137067749,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,3840,0,0,2026-06-14,12:21:46
3682366969,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/3/2026,6/15/2026,4800,0,0,2026-06-14,12:21:46
