PO Nbr,Item Nbr,Description,Supplier Name,Ship Date,Cancel Date,Qty Ordered,Qty Received,Retail $ Shorted
9183178560,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/10/2026,6/19/2026,"6,552",0,"763,308"
9183178560,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/10/2026,6/19/2026,"2,160",0,"251,640"
1232168541,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/10/2026,6/19/2026,"1,872",0,"218,088"
9137067749,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/10/2026,6/19/2026,"1,872",0,"218,088"
1232168541,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/10/2026,6/19/2026,"1,608",0,"187,332"
9137067749,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/10/2026,6/19/2026,"1,440",0,"167,760"
8551487215,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/9/2026,6/20/2026,"1,289",0,13
8551487204,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/9/2026,6/20/2026,287,0,3
8551487184,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/9/2026,6/20/2026,195,0,2
8551482150,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/2/2026,6/15/2026,265,0,0
8551487210,139550,10 KG MANTEQ GLOR LA GLO,CREMERIA A,6/9/2026,6/20/2026,282,0,0
8551487210,155830,10 KG MARGARINA FEIT 10,CREMERIA A,6/9/2026,6/20/2026,370,0,0
8551487215,155830,10 KG MARGARINA FEIT 10,CREMERIA A,6/9/2026,6/20/2026,515,0,0
8551482150,155830,10 KG MARGARINA FEIT 10,CREMERIA A,6/2/2026,6/15/2026,96,0,0
8551487204,155830,10 KG MARGARINA FEIT 10,CREMERIA A,6/9/2026,6/20/2026,216,0,0
3682366969,199455,100/10GR MANTEQUILLA SIN,CREMERIA A,6/3/2026,6/15/2026,16,0,0
3682367043,199455,100/10GR MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,40,0,0
3682367043,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/10/2026,6/19/2026,972,0,0
3682366969,5427,12/90G MANTEQU C SAL CON,CREMERIA A,6/3/2026,6/15/2026,"1,764",0,0
3682366969,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/3/2026,6/15/2026,"4,680",0,0
3682367043,5426,12/90G MANTEQU S SAL SIN,CREMERIA A,6/10/2026,6/19/2026,"2,808",0,0
9183178560,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,"12,480",0,0
1232168541,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,"5,760",0,0
3682367043,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,"3,840",0,0
9137067749,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/10/2026,6/19/2026,"3,840",0,0
3682366969,981025944,MM MANTEQUILLA SIN,CREMERIA A,6/3/2026,6/15/2026,"4,800",0,0
