artist,name song,num reproduction,time duration
Queen,Bohemian Rhapsody - Remastered 2011,3127873860,5:54
Queen,Don't Stop Me Now - Remastered 2011,2633430420,3:29
Queen,Under Pressure - Remastered 2011,2149053729,4:08
Queen,Another One Bites The Dust - Remastered 2011,2413878874,3:34
Queen,We Will Rock You - Remastered 2011,1590422756,2:02
Queen,Crazy Little Thing Called Love - Remastered 2011,1217003005,2:43
Queen,Somebody To Love - Remastered 2011,1124808401,4:56
Queen,Killer Queen - Remastered 2011,1088871576,2:59
Queen,Radio Ga Ga - Remastered 2011,744970447,5:48
Queen,We Are The Champions - Remastered 2011,900490847,2:59
Michael Jackson,Billie Jean,2635570477,4:53
Michael Jackson,Beat It,1690456478,4:18
Michael Jackson,They Don't Care About Us,581564636,4:44
Michael Jackson,Smooth Criminal - 2012 Remaster,1066626433,4:17
Michael Jackson,Chicago,611309603,4:05
Michael Jackson,Rock with You - Single Version,864011943,3:39
Michael Jackson,Dirty Diana - 2012 Remaster,410193418,4:40
Michael Jackson,The Way You Make Me Feel - 2012 Remaster,716763387,4:58
Michael Jackson,Don't Stop 'Til You Get Enough,721833851,6:04
Michael Jackson,Remember the Time,528387695,4:00
Interpol,Evil,199232532,3:35
Interpol,Obstacle 1,127176804,4:11
Interpol,Rest My Chemistry,109137802,5:01
Interpol,C'mere,75841037,3:12
Interpol,Untitled,41356824,3:56
Interpol,PDA,39948567,4:59
Interpol,Slow Hands,65323520,3:04
Interpol,All the Rage Back Home,74083776,4:22
Interpol,No I In Threesome,39231888,3:51
Interpol,Leif Erikson,25981109,4:00
She Past Away,Durdu Dünya,11593016,4:51
She Past Away,Asimilasyon,7888532,4:14
She Past Away,Ölüm Günüm,1226599,3:18
She Past Away,Ruh,7046510,5:10
She Past Away,Mizantrop,281867,3:42
She Past Away,Ritüel,3909092,4:55
She Past Away,İnziva,1203368,4:20
She Past Away,Kasvetli Kutlama,3654172,5:06
She Past Away,Soluk,2825904,4:59
She Past Away,Katarsis,1810197,3:17
