,artist,name album,year,type_disc
0,Tyga,What I Like (with Moliy Ayetian & Tyga),2026,Sencillo
1,Tyga,What I Like (with Moliy Ayetian & Tyga),2026,Sencillo
2,Tyga,DON’T KILL THE PARTY (feat. Tyga Shoreline Mafia & Quavo) [Coast 2 Coast],2025,Sencillo
3,Tyga,TWITCH (feat. 2 Chainz & Tyga),2025,Sencillo
4,Tyga,NSFW,2025,Álbum
5,Tyga,Pop It Off,2025,Sencillo
6,Tyga,Ooweee,2025,Sencillo
7,Tyga,song for mam,2024,Sencillo
8,Tyga,Slave,2024,Sencillo
9,Tyga,Don't Be Fooled,2024,EP
10,Tyga,Spooky,2024,Sencillo
11,Tyga,Comfortable (Remix),2024,Sencillo
12,Tyga,Nasty XXX Remix (feat. Tyga),2024,Sencillo
13,Tyga,No Question,2024,Sencillo
14,Tyga,Uh Huh,2024,Sencillo
15,Tyga,Hello B*tch,2024,Sencillo
16,Tyga,Sensei,2024,Sencillo
17,Tyga,Kim Kardashian,2023,Sencillo
18,Tyga,Drop Top Sleigh Ride (with Tyga),2023,Sencillo
19,Tyga,Hit Me When U Leave The Klub: The Playlist,2023,Álbum
20,Tyga,Brand New,2023,Sencillo
21,Tyga,Bops Goin Brazy,2023,Sencillo
22,Tyga,soak city (feat. BlueBucksClan),2023,Sencillo
23,Tyga,PARTy T1M3,2023,Sencillo
24,Tyga,BUTTERFLY COUPE feat. Tyga,2023,Sencillo
25,Tyga,BIRTHDAY,2023,Sencillo
26,Tyga,Main One (feat. Tyga),2023,Sencillo
27,Tyga,PLATINUM,2023,Sencillo
