artist,name album,year,type_disc
Kanye West,BULLY,2026,Álbum
Kanye West,BULLY,2025,Sencillo
Kanye West,BULLY,2025,Sencillo
Kanye West,DONDA 2,2025,Álbum
Kanye West,VULTURES 2,2024,Álbum
Kanye West,SLIDE,2024,Sencillo
Kanye West,No Apologies,2024,Sencillo
Kanye West,No Face,2024,Sencillo
Kanye West,VULTURES 1,2024,Álbum
Kanye West,CARNIVAL PACK (feat. Rich The Kid Playboi Carti),2024,EP
Kanye West,CARNIVAL - HOOLIGANS VERSION,2024,Sencillo
Kanye West,CARNIVAL (feat. Rich The Kid Playboi Carti),2024,Sencillo
Kanye West,CARNIVAL (INSTRUMENTAL),2024,Sencillo
Kanye West,TALKING,2024,Sencillo
Kanye West,VULTURES PACK,2024,EP
Kanye West,VULTURES,2023,Sencillo
Kanye West,VULTURES,2023,Sencillo
Kanye West,Where They At,2023,Sencillo
Kanye West,Stand United,2023,Sencillo
Kanye West,Hot Shit (feat. Ye & Lil Durk),2022,Sencillo
Kanye West,Hot Shit (feat. Ye & Lil Durk) [Instrumental],2022,Sencillo
Kanye West,Eazy,2022,Sencillo
Kanye West,True Love,2022,Sencillo
Kanye West,City of Gods,2022,Sencillo
Kanye West,Donda (Deluxe),2021,Álbum
Kanye West,Donda,2021,Álbum
Kanye West,Hurricane,2021,Sencillo
Kanye West,Life Of The Party,2021,Sencillo
Tyga,What I Like (with Moliy Ayetian & Tyga),2026,Sencillo
Tyga,What I Like (with Moliy Ayetian & Tyga),2026,Sencillo
Tyga,DON’T KILL THE PARTY (feat. Tyga Shoreline Mafia & Quavo) [Coast 2 Coast],2025,Sencillo
Tyga,TWITCH (feat. 2 Chainz & Tyga),2025,Sencillo
Tyga,NSFW,2025,Álbum
Tyga,Pop It Off,2025,Sencillo
Tyga,Ooweee,2025,Sencillo
Tyga,song for mam,2024,Sencillo
Tyga,Slave,2024,Sencillo
Tyga,Don't Be Fooled,2024,EP
Tyga,Spooky,2024,Sencillo
Tyga,Comfortable (Remix),2024,Sencillo
Tyga,Nasty XXX Remix (feat. Tyga),2024,Sencillo
Tyga,No Question,2024,Sencillo
Tyga,Uh Huh,2024,Sencillo
Tyga,Hello B*tch,2024,Sencillo
Tyga,Sensei,2024,Sencillo
Tyga,Kim Kardashian,2023,Sencillo
Tyga,Drop Top Sleigh Ride (with Tyga),2023,Sencillo
Tyga,Hit Me When U Leave The Klub: The Playlist,2023,Álbum
Tyga,Brand New,2023,Sencillo
Tyga,Bops Goin Brazy,2023,Sencillo
Tyga,soak city (feat. BlueBucksClan),2023,Sencillo
Tyga,PARTy T1M3,2023,Sencillo
Tyga,BUTTERFLY COUPE feat. Tyga,2023,Sencillo
Tyga,BIRTHDAY,2023,Sencillo
Tyga,Main One (feat. Tyga),2023,Sencillo
Tyga,PLATINUM,2023,Sencillo
Hocico,Dark Paradigm,2026,Sencillo
Hocico,Hey Tú,2025,EP
Hocico,Hey Tú! (Frank Spector Remix),2025,Sencillo
Hocico,Hey Tú!,2025,Sencillo
Hocico,Und die Engel singen,2025,EP
Hocico,Und die Engel singen (Alas Caidas Remix),2025,Sencillo
Hocico,Brainrot,2025,EP
Hocico,The Screen,2025,EP
Hocico,Fallen Paradise,2024,Sencillo
Hocico,A Symphony Of Rage,2023,Sencillo
Hocico,Upside Down (Hocico Remix),2022,Sencillo
Hocico,HyperViolent,2022,Álbum
Hocico,Weapons of Resistance,2022,Sencillo
Hocico,Backstabbers,2021,Sencillo
Hocico,Lost World,2021,EP
Hocico,Broken Empires (Radio Version),2021,Sencillo
Hocico,Obscured,2020,EP
Hocico,Artificial Extinction,2019,Álbum
Hocico,Rextinction,2019,Álbum
Hocico,Damaged,2019,Sencillo
Hocico,Cross the Line (Tragedy Of Mine Remix),2019,Sencillo
Hocico,Psychonaut,2019,Sencillo
Hocico,Dark Sunday,2019,Sencillo
Hocico,Shalom from Hell Aviv Live (Blasphemies in the Holy Land Pt. 2),2018,Álbum
Hocico,The Spell of the Spider,2017,Álbum
Hocico,Spider Bites,2017,Álbum
Hocico,I Abomination,2017,Sencillo
Hocico,Ofensor (Deluxe Edition),2015,Álbum
Motorama,Caerus,2024,Sencillo
Motorama,Sleep and I Will Sing,2023,Álbum
Motorama,Another Chance,2023,Sencillo
Motorama,Tomorrow,2022,Sencillo
Motorama,Before The Road,2021,Álbum
Motorama,Today and Everyday,2020,Sencillo
Motorama,The New Era,2020,Sencillo
Motorama,Many Nights,2018,Álbum
Motorama,Dialogues,2016,Álbum
