,artist,name album,year,type_disc
0,Billie Eilish,Guess featuring billie eilish,2024,Sencillo
1,Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],2024,Sencillo
2,Billie Eilish,HIT ME HARD AND SOFT,2024,Álbum
3,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023,Sencillo
4,Billie Eilish,hotline (edit),2023,Sencillo
5,Billie Eilish,Guitar Songs,2022,Sencillo
6,Billie Eilish,Happier Than Ever,2021,Álbum
7,Billie Eilish,Happier Than Ever (Edit),2021,Sencillo
8,Billie Eilish,ilomilo (Live From The Film - Billie Eilish: The World’s A Little Blurry),2021,Sencillo
9,Billie Eilish,Lo Vas A Olvidar (with ROSALÍA),2021,Sencillo
10,Billie Eilish,Therefore I Am,2020,Sencillo
11,Billie Eilish,my future,2020,Sencillo
12,Billie Eilish,No Time To Die,2020,Sencillo
13,Billie Eilish,everything i wanted,2019,Sencillo
14,Billie Eilish,bad guy (with Justin Bieber),2019,Sencillo
15,Billie Eilish,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,2019,Álbum
16,Billie Eilish,WHEN I WAS OLDER (Music Inspired By The Film ROMA),2019,Sencillo
17,Billie Eilish,come out and play,2018,Sencillo
18,Billie Eilish,lovely (with Khalid),2018,Sencillo
19,Billie Eilish,bitches broken hearts,2018,Sencillo
20,Billie Eilish,MyBoi (TroyBoi Remix),2018,Sencillo
21,Billie Eilish,COPYCAT (Sofi Tukker Remix),2018,Sencillo
22,Billie Eilish,dont smile at me,2017,EP
23,Billie Eilish,&burn (with Vince Staples),2017,Sencillo
24,Billie Eilish,Bellyache (Marian Hill Remix),2017,Sencillo
25,Billie Eilish,Bored,2017,Sencillo
26,Billie Eilish,Bellyache,2017,Sencillo
27,Billie Eilish,Six Feet Under (The Remixes),2017,Sencillo
