,artist,name album,year,type_disc
0,Buscabulla,Miraverahí (Slow Jamz Remix),2026,Sencillo
1,Buscabulla,Se Amaba Así,2025,Álbum
2,Buscabulla,Miraverahí,2025,Sencillo
3,Buscabulla,Te Fuiste,2025,Sencillo
4,Buscabulla,El Camino,2025,Sencillo
5,Buscabulla,11:11,2024,Sencillo
6,Buscabulla,Mi vida en llamas (feat. Buscabulla),2023,Sencillo
7,Buscabulla,Descripción (Tú) Bucabulla Rework)),2022,Sencillo
8,Buscabulla,Cantares,2021,Sencillo
9,Buscabulla,close (Buscabulla Remix),2021,Sencillo
10,Buscabulla,Too Late (Buscabulla Remix),2021,Sencillo
11,Buscabulla,High Season (with Buscabulla),2021,Sencillo
12,Buscabulla,Moody (Buscabulla Remix),2021,Sencillo
13,Buscabulla,My Ways (Buscabulla Remix),2021,Sencillo
14,Buscabulla,Eva,2021,Sencillo
15,Buscabulla,la luz(Fín) [Buscabulla Remix],2020,Sencillo
16,Buscabulla,Ta Que Tiembla (Buscabulla x Empress Of [Empress Of Remix]),2020,Sencillo
17,Buscabulla,Regresa Remixes,2020,EP
18,Buscabulla,Bad Advice (Buscabulla Remix),2020,Sencillo
19,Buscabulla,Ta Que Tiembla (Pachyman Remix),2020,Sencillo
20,Buscabulla,NTE (Jonti Remix),2020,Sencillo
21,Buscabulla,Regresa,2020,Álbum
22,Buscabulla,El Aprieto,2020,Sencillo
23,Buscabulla,Nydia,2020,Sencillo
24,Buscabulla,NTE,2020,Sencillo
25,Buscabulla,Vámono,2019,Sencillo
26,Buscabulla,EP II,2017,EP
27,Buscabulla,Métele (Cesare Remix),2015,Sencillo
