,artist,name album,year,type_disc
0,Kanye West,BULLY,2026,Álbum
1,Kanye West,BULLY,2025,Sencillo
2,Kanye West,BULLY,2025,Sencillo
3,Kanye West,DONDA 2,2025,Álbum
4,Kanye West,VULTURES 2,2024,Álbum
5,Kanye West,SLIDE,2024,Sencillo
6,Kanye West,No Apologies,2024,Sencillo
7,Kanye West,No Face,2024,Sencillo
8,Kanye West,VULTURES 1,2024,Álbum
9,Kanye West,CARNIVAL PACK (feat. Rich The Kid Playboi Carti),2024,EP
10,Kanye West,CARNIVAL - HOOLIGANS VERSION,2024,Sencillo
11,Kanye West,CARNIVAL (feat. Rich The Kid Playboi Carti),2024,Sencillo
12,Kanye West,CARNIVAL (INSTRUMENTAL),2024,Sencillo
13,Kanye West,TALKING,2024,Sencillo
14,Kanye West,VULTURES PACK,2024,EP
15,Kanye West,VULTURES,2023,Sencillo
16,Kanye West,VULTURES,2023,Sencillo
17,Kanye West,Where They At,2023,Sencillo
18,Kanye West,Stand United,2023,Sencillo
19,Kanye West,Hot Shit (feat. Ye & Lil Durk),2022,Sencillo
20,Kanye West,Hot Shit (feat. Ye & Lil Durk) [Instrumental],2022,Sencillo
21,Kanye West,Eazy,2022,Sencillo
22,Kanye West,True Love,2022,Sencillo
23,Kanye West,City of Gods,2022,Sencillo
24,Kanye West,Donda (Deluxe),2021,Álbum
25,Kanye West,Donda,2021,Álbum
26,Kanye West,Hurricane,2021,Sencillo
27,Kanye West,Life Of The Party,2021,Sencillo
