,artist,name album,year,type_disc
0,"Tayler, The Creator",FISH N STEAK (WHAT IT IS) (feat. Tyler The Creator & Jozzy),2026,Sencillo
1,"Tayler, The Creator",DON'T TAP THE GLASS,2025,Álbum
2,"Tayler, The Creator",CHROMAKOPIA +,2024,Álbum
3,"Tayler, The Creator",CHROMAKOPIA,2024,Álbum
4,"Tayler, The Creator",Noid,2024,Sencillo
5,"Tayler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,2023,Álbum
6,"Tayler, The Creator",Cash In Cash Out,2022,Sencillo
7,"Tayler, The Creator",CALL ME IF YOU GET LOST,2021,Álbum
8,"Tayler, The Creator",LUMBERJACK,2021,Sencillo
9,"Tayler, The Creator",Tell Me How (Coca-Cola Commercial),2021,Sencillo
10,"Tayler, The Creator",Automatic Driver (Tyler The Creator Remix),2020,Sencillo
11,"Tayler, The Creator",GROUP B,2020,Sencillo
12,"Tayler, The Creator",BEST INTEREST,2020,Sencillo
13,"Tayler, The Creator",EARFQUAKE (Channel Tres Remix),2019,Sencillo
14,"Tayler, The Creator",IGOR,2019,Álbum
15,"Tayler, The Creator",Music Inspired by Illumination & Dr. Seuss' The Grinch,2018,EP
16,"Tayler, The Creator",Potato Salad,2018,Sencillo
17,"Tayler, The Creator",Peach Fuzz,2018,Sencillo
18,"Tayler, The Creator",435,2018,Sencillo
19,"Tayler, The Creator",OKRA,2018,Sencillo
20,"Tayler, The Creator",Flower Boy,2017,Álbum
21,"Tayler, The Creator",Who Dat Boy / 911,2017,Sencillo
22,"Tayler, The Creator",Cherry Bomb + Instrumentals,2015,Álbum
23,"Tayler, The Creator",Cherry Bomb,2015,Álbum
24,"Tayler, The Creator",Wolf + Instrumentals,2013,Álbum
25,"Tayler, The Creator",Wolf,2013,Álbum
26,"Tayler, The Creator",Domo23,2013,Sencillo
27,"Tayler, The Creator",Goblin,2011,Álbum
