artist,name song,num reproduction,time duration
Geometric Vision,Jelly Dream,1923588,4:03
Geometric Vision,Fire Fire Fire,713633,3:46
Geometric Vision,Tower of Glass - Geometric Vision Remix,196182,4:16
Geometric Vision,Slowemotion (Molchat Doma Remix),328623,4:26
Geometric Vision,Slowemotion,395978,4:32
Geometric Vision,Letania,172076,4:47
Geometric Vision,Stella,7714,3:12
Geometric Vision,79 D.C.,219420,3:06
Geometric Vision,Another Day Without Blue,162776,3:00
Geometric Vision,Luna,53365,6:00
Mareux,The Perfect Girl,591096226,3:14
Mareux,Killer,56988030,3:06
Mareux,Lovers From The Past,65820148,3:19
Mareux,The Perfect Girl - The Motion Retrowave Remix,90403807,3:01
Mareux,Summertime,39953267,3:37
Mareux,baby give me more (feat. Mareux),3416283,3:45
Mareux,The Perfect Girl - Instrumental,39471934,3:14
Mareux,Night Vision,8325769,3:50
Mareux,Laugh Now Cry Later,4259656,3:19
Mareux,Glass (feat. King Woman),6296777,4:07
