artist,num reproduction,real_name,musical_genre,artist_type,start_carrer,end_carrer,number_albums,followers,monthly_listeners
Billie Eilish,21760539808,,,,,,,,
Buscabulla,691873087,,,,,,,,
Hapax,2474339,,,,,,,,
Hocico,14699212,,,,,,,,
Kanye West,10889977591,,,,,,,,
Kendrick Lamar,17412690295,,,,,,,,
Kings of Leon,4773364600,,,,,,,,
Linea Aspera,22273475,,,,,,,,
Metallica,9059010240,,,,,,,,
Michael Jackson,9770564678,,,,,,,,
Motorama,100522672,,,,,,,,
Tayler The Creator,8793474553,,,,,,,,
Tyga,5140444284,,,,,,,,
