,artist,name song,num reproduction,time duration
0,Metallica,Enter Sandman - Remastered 2021,2064272620,5:31
1,Metallica,Nothing Else Matters - Remastered 2021,1618923524,6:28
2,Metallica,Master Of Puppets,1226985884,8:35
3,Metallica,For Whom The Bell Tolls - Remastered,732883941,5:09
4,Metallica,One,826625986,7:26
5,Metallica,The Unforgiven - Remastered 2021,710657423,6:27
6,Metallica,Sad But True - Remastered 2021,514565179,5:24
7,Metallica,Fuel,402008627,4:29
8,Metallica,Whiskey In The Jar,599259785,5:04
9,Metallica,Seek & Destroy - Remastered,362827271,6:54
