,artist,name song,num reproduction,time duration
0,"Tayler, The Creator",See You Again (feat. Kali Uchis),2883433748,3:00
1,"Tayler, The Creator",Like Him (feat. Lola Young),743903680,4:38
2,"Tayler, The Creator",Sugar On My Tongue,357261047,2:33
3,"Tayler, The Creator",ARE WE STILL FRIENDS?,877104366,4:25
4,"Tayler, The Creator",She,770631545,4:13
5,"Tayler, The Creator",Sticky (feat. GloRilla Sexyy Red & Lil Wayne),508204006,4:15
6,"Tayler, The Creator",EARFQUAKE,1318530395,3:10
7,"Tayler, The Creator",NEW MAGIC WAND,887392171,3:15
8,"Tayler, The Creator",St. Chroma (feat. Daniel Caesar),322472322,3:17
9,"Tayler, The Creator",Ring Ring Ring,124541273,3:21
