artist,name song,num reproduction,time duration
Linea Aspera,Synapse,7464611,4:16
Linea Aspera,Attica,2054684,3:38
Linea Aspera,Eviction,3204270,4:03
Linea Aspera,Malarone,3003152,4:11
Linea Aspera,Fer-De-Lance,1743070,3:52
Linea Aspera,Reunion,1161786,3:45
Linea Aspera,Hinterland,1138669,3:48
Linea Aspera,Lamanai,1214756,3:58
Linea Aspera,Solar Flare,810671,5:45
Linea Aspera,Redshift,477806,4:11
Hocico,Sex Sick,1943145,5:08
Hocico,Fed Up,3188313,4:41
Hocico,Und die Engel singen - Alas Caidas Remix by Hocico,644764,4:17
Hocico,I Want to Go to Hell,2137045,4:38
Hocico,Hey Tú!,237172,4:12
Hocico,Dark Paradigm,59130,6:02
Hocico,Dead Trust,1190953,5:38
Hocico,Ecos,2409983,5:57
Hocico,Obscured,1513595,4:41
Hocico,Bite Me!,1375112,5:28
Motorama,Heavy Wave,29447326,3:29
Motorama,Ghost,15025092,3:42
Motorama,Alps,12043229,4:07
Motorama,Wind in Her Hair,11851942,4:41
Motorama,Red Drop,7588444,3:31
Motorama,One Moment,4363384,3:51
Motorama,To the South,6712349,2:41
Motorama,Tell Me,5390958,2:39
Motorama,No More Time,5138338,3:15
Motorama,Empty Bed,2961610,3:28
Michael Jackson,Billie Jean,2624095458,4:53
Michael Jackson,Beat It,1682367876,4:18
Michael Jackson,Chicago,606884705,4:05
Michael Jackson,They Don't Care About Us,576118696,4:44
Michael Jackson,Smooth Criminal - 2012 Remaster,1061398339,4:17
Michael Jackson,Rock with You - Single Version,859342021,3:39
Michael Jackson,Dirty Diana - 2012 Remaster,406073853,4:40
Michael Jackson,The Way You Make Me Feel - 2012 Remaster,712278316,4:58
Michael Jackson,Don't Stop 'Til You Get Enough,717410961,6:04
Michael Jackson,Remember the Time,524594453,4:00
Tyga,Girl You Loud,219502124,3:33
Tyga,Taste (feat. Offset),1564299763,3:49
Tyga,Ayo,709360700,3:45
Tyga,Loco Contigo (feat. J. Balvin & Tyga),966659177,3:05
Tyga,Juicy,423036062,3:23
Tyga,Rack City,431463353,3:28
Tyga,Lights Out (feat. Fat Trel),58682034,4:46
Tyga,What I Like (with Moliy Ayetian & Tyga),9253591,2:36
Tyga,Chosen (feat. Ty Dolla $ign),467362841,2:41
Tyga,Ice Cream Man,290824639,3:06
Tayler The Creator,See You Again (feat. Kali Uchis),2883433748,3:00
Tayler The Creator,Like Him (feat. Lola Young),743903680,4:38
Tayler The Creator,Sugar On My Tongue,357261047,2:33
Tayler The Creator,ARE WE STILL FRIENDS?,877104366,4:25
Tayler The Creator,She,770631545,4:13
Tayler The Creator,Sticky (feat. GloRilla Sexyy Red & Lil Wayne),508204006,4:15
Tayler The Creator,EARFQUAKE,1318530395,3:10
Tayler The Creator,NEW MAGIC WAND,887392171,3:15
Tayler The Creator,St. Chroma (feat. Daniel Caesar),322472322,3:17
Tayler The Creator,Ring Ring Ring,124541273,3:21
Kendrick Lamar,"All The Stars (with SZA) - From ""Black Panther: The Album""",2949901622,3:52
Kendrick Lamar,luther (with sza),1477776885,2:57
Kendrick Lamar,Not Like Us,1899656570,4:34
Kendrick Lamar,Money Trees,2194305194,6:26
Kendrick Lamar,HUMBLE.,2895647865,2:57
Kendrick Lamar,tv off (feat. lefty gunplay),860212058,3:40
Kendrick Lamar,Like That,985203208,4:27
Kendrick Lamar,LOVE. FEAT. ZACARI.,1858123991,3:33
Kendrick Lamar,Swimming Pools (Drank),1132257836,4:07
Kendrick Lamar,family ties (with Kendrick Lamar),1159605066,4:12
Billie Eilish,BIRDS OF A FEATHER,3639143226,3:30
Billie Eilish,WILDFLOWER,2006995065,4:21
Billie Eilish,lovely (with Khalid),3721855927,3:20
